Date,Price,Open,High,Low,Vol.,Change %
02-08-2024,70.44,71.18,71.31,69.45,23.24K,-1.03%
01-08-2024,71.17,69.55,71.5,68.83,29.18K,2.79%
31-07-2024,69.24,68.95,69.44,68.04,20.38K,0.96%
30-07-2024,68.58,68.67,69.29,67.47,20.66K,-0.29%
29-07-2024,68.78,67.7,68.9,67.2,16.08K,1.58%
26-07-2024,67.71,66.9,68.15,66.79,12.68K,0.94%
25-07-2024,67.08,68.91,68.91,66.65,21.15K,-2.64%
24-07-2024,68.9,65.79,69.02,65.55,26.23K,4.73%
23-07-2024,65.79,64.82,66.22,64.26,19.17K,1.54%
22-07-2024,64.79,66.28,66.73,64.25,25.44K,-1.83%
19-07-2024,66,66.35,67.49,65.73,15.46K,-0.17%
18-07-2024,66.11,66.43,66.98,66.01,17.93K,-0.47%
17-07-2024,66.42,68.01,68.13,66.41,19.67K,-2.24%
16-07-2024,67.94,67.85,68.27,67.16,18.32K,0.53%
15-07-2024,67.58,69.58,69.58,67.1,22.05K,-2.55%
12-07-2024,69.35,68.55,69.52,67.69,18.19K,1.21%
11-07-2024,68.52,68.15,68.83,67.6,16.48K,0.82%
10-07-2024,67.96,68.66,69.4,67.86,15.81K,-0.82%
09-07-2024,68.52,69.15,69.19,68.18,16.72K,-0.75%
08-07-2024,69.04,70.59,71.85,68.8,25.02K,-1.86%
05-07-2024,70.35,70.12,71.15,69.94,12.63K,0.24%
04-07-2024,70.18,70.76,71.16,69.83,19.11K,-1.03%
03-07-2024,70.91,70.67,71.95,70,25.07K,-0.03%
02-07-2024,70.93,68.3,71.03,67.52,27.02K,3.81%
01-07-2024,68.33,67.41,69.68,67.13,19.71K,1.44%
28-06-2024,67.36,66.71,68.4,65.79,22.06K,1.31%
27-06-2024,66.49,67.03,67.78,66.42,19.50K,-1.10%
26-06-2024,67.23,68.35,69.09,66.8,22.83K,-0.84%
25-06-2024,67.8,67.45,68.07,66.85,20.56K,0.36%
24-06-2024,67.56,68.02,68.27,67.01,25.78K,-0.72%
21-06-2024,68.05,69.51,69.51,67.94,18.86K,-1.65%
20-06-2024,69.19,70.6,71.59,69.07,21.09K,-2.19%
19-06-2024,70.74,68.74,70.81,68.5,20.84K,3.45%
18-06-2024,68.38,68.26,69.25,67.72,25.05K,0.32%
17-06-2024,68.16,68.7,69.21,67.63,22.76K,-0.54%
14-06-2024,68.53,70.75,71.09,68.18,32.67K,-3.30%
13-06-2024,70.87,70.3,71.99,70.3,18.92K,0.81%
12-06-2024,70.3,70.45,71.75,69.97,20.42K,-0.16%
11-06-2024,70.41,70.8,72.17,69.87,22.85K,-0.71%
10-06-2024,70.91,71.14,71.2,69.29,27.32K,-0.71%
07-06-2024,71.42,71.78,71.88,71.02,14.70K,-0.15%
06-06-2024,71.53,71.82,72.98,71.25,19.25K,-0.65%
05-06-2024,72,72.72,73.26,70.96,25.06K,-0.80%
04-06-2024,72.58,74.52,74.71,72.27,29.74K,-2.75%
03-06-2024,74.63,74.44,77.8,74.25,29.51K,0.76%
31-05-2024,74.07,75.48,76.42,73.85,19.01K,-1.50%
30-05-2024,75.2,73.66,75.84,73.37,19.23K,1.69%
29-05-2024,73.95,74.5,75.6,72.95,21.29K,-0.87%
28-05-2024,74.6,75.99,76.24,74.15,20.35K,-2.50%
27-05-2024,76.51,75.7,76.99,75.58,11.68K,0.96%
24-05-2024,75.78,76.1,76.7,73.9,20.91K,-0.42%
23-05-2024,76.1,76.5,78.1,75.52,28.44K,-0.74%
22-05-2024,76.67,75.83,77.5,75.5,26.14K,0.62%
21-05-2024,76.2,74.18,76.64,73.05,27.58K,2.64%
20-05-2024,74.24,71,74.9,71,28.80K,5.28%
17-05-2024,70.52,70.5,71.52,69.6,19.40K,-0.38%
16-05-2024,70.79,69.09,71.27,68.88,19.43K,2.31%
15-05-2024,69.19,70.2,71.83,69.09,22.11K,-1.30%
14-05-2024,70.1,70.02,71.32,69.02,15.41K,0.04%
13-05-2024,70.07,71.33,71.49,68.75,24.98K,-2.12%
10-05-2024,71.59,73.5,75.5,71.28,22.20K,-2.76%
09-05-2024,73.62,71.4,74.08,71.13,14.64K,2.36%
08-05-2024,71.92,71.03,72.7,69.61,21.90K,1.51%
07-05-2024,70.85,73.25,74.3,70.57,31.16K,-3.83%
06-05-2024,73.67,71.74,74.49,71.52,18.25K,2.55%
03-05-2024,71.84,72.69,74.55,71.45,25.96K,-1.17%
02-05-2024,72.69,67.88,73.18,67.25,38.25K,7.04%
01-05-2024,67.91,69.19,69.26,67.35,12.26K,-1.86%
30-04-2024,69.2,65.95,69.6,65.38,26.24K,5.17%
29-04-2024,65.8,67,67.35,65.01,18.42K,-2.53%
26-04-2024,67.51,68.21,69.2,66.57,18.84K,-1.32%
25-04-2024,68.41,67,69.92,66.54,27.09K,2.33%
24-04-2024,66.85,66.25,67.45,64.8,22.73K,0.71%
23-04-2024,66.38,66.39,67.21,65.34,22.88K,-0.03%
22-04-2024,66.4,68,68.19,66.02,25.67K,-3.09%
19-04-2024,68.52,72.57,73.3,68.13,28.40K,-4.23%
18-04-2024,71.55,69.9,72.22,68.15,31.33K,1.73%
17-04-2024,70.33,74.13,74.48,69.24,37.88K,-5.28%
16-04-2024,74.25,70.26,74.9,69.87,36.63K,5.83%
15-04-2024,70.16,71.55,71.64,69.12,29.52K,-2.07%
12-04-2024,71.64,68.6,71.81,68.07,46.29K,4.08%
11-04-2024,68.83,62.98,68.92,62.81,47.86K,9.51%
10-04-2024,62.85,63.82,65.07,62.3,25.55K,-1.74%
09-04-2024,63.96,63.39,64.64,62.53,27.84K,0.90%
08-04-2024,63.39,60.72,63.77,59.69,32.01K,3.90%
05-04-2024,61.01,58.87,61.15,58.26,25.37K,4.49%
04-04-2024,58.39,57.5,59.24,57.1,22.26K,1.46%
03-04-2024,57.55,59.29,59.43,56.91,23.14K,-2.29%
02-04-2024,58.9,61.22,61.5,58.56,27.64K,-4.89%
28-03-2024,61.93,62.5,62.89,61.32,,-1.09%
27-03-2024,62.61,62.5,63.31,61.08,22.31K,-0.62%
26-03-2024,63,64.45,65.74,62.16,33.89K,-2.84%
25-03-2024,64.84,61.69,65.49,61.68,33.71K,5.43%
22-03-2024,61.5,59.1,62.06,58.8,24.38K,3.59%
21-03-2024,59.37,60.04,60.26,58.8,22.93K,-1.07%
20-03-2024,60.01,61.3,61.46,59.99,21.68K,-2.12%
19-03-2024,61.31,61.3,62.87,59.65,26.86K,-0.18%
18-03-2024,61.42,59.5,62.32,59.5,33.59K,3.44%
15-03-2024,59.38,58.9,60.25,58.14,27.06K,0.99%
14-03-2024,58.8,55.85,59.18,55.08,30.35K,5.24%
13-03-2024,55.87,56.86,57.9,55.65,23.40K,-1.98%
12-03-2024,57,56.26,57.08,55.24,26.90K,1.55%
11-03-2024,56.13,58.22,58.24,55.8,28.03K,-4.05%
08-03-2024,58.5,59,60.2,57.8,22.80K,-1.58%
07-03-2024,59.44,58.79,61.09,57.4,36.11K,1.11%
06-03-2024,58.79,60.25,62.8,58.09,44.52K,-2.02%
05-03-2024,60,57.28,61.23,56.73,48.66K,4.75%
04-03-2024,57.28,56.4,57.77,53.5,33.98K,1.72%
01-03-2024,56.31,56.5,56.84,55.08,22.85K,-0.23%
29-02-2024,56.44,57.53,57.81,55.25,27.04K,-1.35%
28-02-2024,57.21,56.21,58.87,55.45,38.36K,2.23%
27-02-2024,55.96,53.76,56.14,52.45,30.42K,3.96%
26-02-2024,53.83,52.11,54.52,51.55,23.89K,2.51%
23-02-2024,52.51,52.9,53.01,51.12,26.23K,-0.15%
22-02-2024,52.59,54.48,54.48,52.37,22.36K,-3.52%
21-02-2024,54.51,54.05,54.98,53.28,18.58K,0.55%
20-02-2024,54.21,53.5,55.04,51.86,30.45K,2.01%
19-02-2024,53.14,57.11,57.11,52.9,29.61K,-6.95%
16-02-2024,57.11,57.95,58.21,56.29,20.13K,-1.45%
15-02-2024,57.95,56.44,59.05,56.13,28.07K,2.68%
14-02-2024,56.44,56.43,57.57,55.41,23.61K,-0.37%
13-02-2024,56.65,57.2,57.89,55.65,23.80K,-0.96%
12-02-2024,57.2,58.64,58.8,56.59,24.58K,-2.72%
09-02-2024,58.8,60.5,60.5,58.2,26.39K,-3.15%
08-02-2024,60.71,62.5,62.5,60.27,26.07K,-2.58%
07-02-2024,62.32,63.35,63.68,62.25,17.67K,-1.84%
06-02-2024,63.49,62.79,63.97,62,19.28K,1.44%
05-02-2024,62.59,63.8,64.31,62.07,19.16K,-1.43%
02-02-2024,63.5,62.05,64.37,61.9,17.96K,1.89%
01-02-2024,62.32,64.16,64.87,62.1,22.15K,-3.23%
31-01-2024,64.4,63.92,65.14,62.94,21.32K,0.59%
30-01-2024,64.02,61.63,64.02,61.3,22.87K,3.64%
29-01-2024,61.77,63.6,64.06,61.58,22.58K,-2.11%
26-01-2024,63.1,63.15,65.03,62.1,21.96K,-0.49%
25-01-2024,63.41,66.43,66.43,62.9,25.61K,-3.63%
24-01-2024,65.8,63.36,66.1,63.16,25.09K,4.00%
23-01-2024,63.27,62,63.8,61.6,20.28K,1.38%
22-01-2024,62.41,63.03,63.03,60.86,21.64K,-1.59%
19-01-2024,63.42,63.37,64.23,62.93,15.14K,0.22%
18-01-2024,63.28,63.09,64.13,62.5,18.19K,-0.05%
17-01-2024,63.31,65.39,66.07,62.86,25.63K,-3.33%
16-01-2024,65.49,66.98,67.4,65.05,22.43K,-2.11%
15-01-2024,66.9,66,67.46,64.61,22.19K,4.86%
12-01-2024,63.8,66.93,66.93,63,0.51K,-3.27%
11-01-2024,65.96,67.67,67.7,65.2,1.06K,-2.60%
10-01-2024,67.72,70.3,70.5,67.47,0.75K,-3.12%
09-01-2024,69.9,69.5,70.73,69.25,0.48K,-0.09%
08-01-2024,69.96,73.68,73.75,69.89,0.78K,-5.42%
05-01-2024,73.97,73.32,74.54,73.18,0.38K,0.26%
04-01-2024,73.78,75.45,76.1,73.1,1.39K,-2.17%
03-01-2024,75.42,74.2,75.58,74.2,0.21K,1.80%
02-01-2024,74.09,78.17,78.22,73.04,0.69K,-4.99%
29-12-2023,77.98,78,78.61,77.28,,0.05%
28-12-2023,77.94,77.69,78.02,76.98,0.94K,0.26%
27-12-2023,77.74,77.27,78.57,77.08,0.96K,1.04%
22-12-2023,76.94,75.88,77.08,75,0.45K,1.40%
