"Date","Price","Open","High","Low","Vol.","Change %"
"02-08-2024","2.078","2.114","2.147","2.041","87.31K","-0.86%"
"01-08-2024","2.096","2.158","2.243","2.093","97.44K","-3.05%"
"31-07-2024","2.162","2.241","2.261","2.149","79.09K","-3.65%"
"30-07-2024","2.244","2.189","2.252","2.113","71.34K","10.22%"
"29-07-2024","2.036","2.053","2.102","1.999","162.68K","-0.73%"
"26-07-2024","2.051","2.082","2.096","2.039","149.81K","-1.01%"
"25-07-2024","2.072","2.161","2.193","2.064","158.13K","-3.99%"
"24-07-2024","2.158","2.190","2.208","2.139","133.12K","-2.97%"
"23-07-2024","2.224","2.279","2.290","2.160","127.42K","-2.71%"
"22-07-2024","2.286","2.145","2.302","2.131","141.07K","5.59%"
"19-07-2024","2.165","2.128","2.179","2.095","101.00K","-0.14%"
"18-07-2024","2.168","2.088","2.172","2.063","147.92K","4.68%"
"17-07-2024","2.071","2.203","2.224","2.055","187.04K","-6.12%"
"16-07-2024","2.206","2.189","2.235","2.171","121.32K","1.29%"
"15-07-2024","2.178","2.283","2.284","2.167","162.46K","-6.56%"
"12-07-2024","2.331","2.287","2.357","2.252","101.06K","2.15%"
"11-07-2024","2.282","2.339","2.353","2.277","100.06K","-2.69%"
"10-07-2024","2.345","2.366","2.396","2.313","107.30K","-0.64%"
"09-07-2024","2.360","2.384","2.454","2.351","106.05K","-0.92%"
"08-07-2024","2.382","2.300","2.417","2.300","126.72K","1.36%"
"05-07-2024","2.350","2.459","2.466","2.347","98.43K","-0.89%"
"04-07-2024","2.371","2.431","2.439","2.335","","-3.11%"
"03-07-2024","2.447","2.485","2.503","2.434","70.97K","-0.29%"
"02-07-2024","2.454","2.482","2.497","2.436","96.17K","-1.52%"
"01-07-2024","2.492","2.581","2.599","2.474","107.00K","-4.08%"
"28-06-2024","2.598","2.694","2.749","2.591","80.15K","-2.88%"
"27-06-2024","2.675","2.725","2.773","2.665","61.99K","-2.55%"
"26-06-2024","2.745","2.850","2.863","2.731","141.35K","-4.12%"
"25-06-2024","2.863","2.943","2.951","2.831","158.42K","-2.88%"
"24-06-2024","2.948","2.813","2.953","2.780","139.60K","3.95%"
"21-06-2024","2.836","2.838","2.888","2.793","104.88K","-0.63%"
"20-06-2024","2.854","2.995","3.027","2.833","131.81K","-2.13%"
"19-06-2024","2.916","2.904","2.928","2.859","","-2.47%"
"18-06-2024","2.990","2.870","2.997","2.858","91.14K","4.29%"
"17-06-2024","2.867","2.930","2.930","2.837","96.87K","-3.24%"
"14-06-2024","2.963","3.000","3.068","2.950","80.26K","-2.44%"
"13-06-2024","3.037","3.104","3.167","2.978","94.27K","-2.72%"
"12-06-2024","3.122","3.194","3.194","3.073","101.31K","-2.22%"
"11-06-2024","3.193","3.046","3.221","3.031","85.32K","7.26%"
"10-06-2024","2.977","3.055","3.163","2.945","106.18K","-0.63%"
"07-06-2024","2.996","2.883","3.037","2.871","93.24K","3.60%"
"06-06-2024","2.892","2.829","2.946","2.796","73.60K","2.26%"
"05-06-2024","2.828","2.694","2.854","2.681","76.26K","5.92%"
"04-06-2024","2.670","2.814","2.874","2.656","87.22K","-4.78%"
"03-06-2024","2.804","2.716","2.850","2.688","99.26K","5.33%"
"31-05-2024","2.662","2.647","2.701","2.605","61.48K","0.57%"
"30-05-2024","2.647","2.715","2.731","2.637","73.51K","-0.71%"
"29-05-2024","2.666","2.836","2.848","2.655","161.40K","-5.63%"
"28-05-2024","2.825","2.761","2.853","2.732","211.82K","1.62%"
"27-05-2024","2.780","2.747","2.853","2.742","","1.16%"
"26-05-2024","2.748","2.747","2.760","2.732","","-0.90%"
"24-05-2024","2.773","2.938","2.965","2.759","165.96K","-5.13%"
"23-05-2024","2.923","3.004","3.161","2.896","274.51K","-4.23%"
"22-05-2024","3.052","2.834","3.060","2.786","213.50K","7.50%"
"21-05-2024","2.839","2.891","2.945","2.802","156.13K","-2.14%"
"20-05-2024","2.901","2.815","2.905","2.785","172.08K","4.02%"
"17-05-2024","2.789","2.681","2.809","2.673","146.53K","3.80%"
"16-05-2024","2.687","2.622","2.753","2.609","152.35K","2.13%"
"15-05-2024","2.631","2.559","2.637","2.542","129.40K","2.81%"
"14-05-2024","2.559","2.576","2.610","2.520","104.01K","-1.08%"
"13-05-2024","2.587","2.477","2.590","2.447","119.01K","4.15%"
"10-05-2024","2.484","2.539","2.567","2.473","119.37K","-2.09%"
"09-05-2024","2.537","2.470","2.561","2.438","160.91K","2.55%"
"08-05-2024","2.474","2.479","2.533","2.450","111.54K","0.12%"
"07-05-2024","2.471","2.476","2.493","2.423","92.67K","0.32%"
"06-05-2024","2.463","2.439","2.521","2.396","100.91K","1.95%"
"03-05-2024","2.416","2.333","2.430","2.305","104.78K","3.65%"
"02-05-2024","2.331","2.263","2.344","2.261","70.43K","2.87%"
