Date,Open,High,Low,Vol.,Change %,Crude_Oil_Price,Carbon_Price_USD,EuroNext100_Price,Total_MtCO2_per_day,Natural_Gas_Price
04-01-2021,33.14,34.45,33.14,1250,2.88,47.76,41.508472,1112.52,18.32706277,2.561
05-01-2021,33.69,33.83,32.96,1280,-2.18,50.01,40.75461,1109.56,18.81185777,2.673
06-01-2021,33.71,33.88,33.02,430,2.05,50.69,41.695475,1120.23,19.17141034,2.684
07-01-2021,34.05,35,34.05,1170,3.37,50.87,42.90819,1122.13,19.88933111,2.691
08-01-2021,35.21,35.35,34.55,1600,0.49,52.26,42.934052,1132.1,20.89123395,2.656
11-01-2021,35.29,35.4,34.46,1100,-1.08,52.27,42.229924,1124.29,21.83249993,2.703
12-01-2021,34.6,35.59,34.44,1310,0.35,53.24,42.578016,1122.56,21.82528853,2.707
13-01-2021,34.73,34.85,33.33,1990,-2.87,52.96,41.187916,1123.61,21.83190789,2.689
14-01-2021,33.77,33.97,32.99,1620,-0.35,53.62,41.038656,1133.2,21.68717091,2.63
15-01-2021,33.63,33.63,31.89,1750,-5.33,52.42,38.601288,1121.8,21.73090571,2.696
18-01-2021,31.83,32.51,31.56,1210,-0.38,52.36,38.449984,1122.54,22.00091023,2.637
19-01-2021,32.11,33.33,32.06,1140,4.59,52.98,40.38624,1122.18,21.91507024,2.529
20-01-2021,33.49,33.84,33.02,700,-0.54,53.31,40.088448,1130.55,21.54502044,2.533
21-01-2021,32.89,34.41,32.83,830,3.62,53.05,41.739984,1129.32,20.86136044,2.497
22-01-2021,34.27,34.45,33.77,1390,0.38,52.19,41.915315,1123.64,20.15049877,2.456
25-01-2021,34.77,34.84,33.35,1720,-3.08,52.67,40.525443,1110.13,19.19308764,2.598
26-01-2021,33.13,33.74,33.05,1270,0.51,52.52,40.80896,1115.66,19.32139132,2.636
27-01-2021,33.41,33.67,32.48,610,-0.15,52.73,40.573908,1098.49,19.75710971,2.702
28-01-2021,33.81,34.16,33.15,1060,1.97,52.24,41.417457,1106.68,20.18106826,2.675
29-01-2021,34,34.08,33.16,1380,-2.9,52.08,40.267248,1085.38,20.18249145,2.592
01-02-2021,33.19,33.58,32.85,620,-0.3,53.42,39.891172,1100.99,20.08547452,2.821
02-02-2021,33.29,35.32,33.29,1040,6.38,54.62,42.375798,1119.53,19.97354828,2.818
03-02-2021,35.15,38.04,35.07,2590,6.99,55.54,45.30801,1121.09,19.63444009,2.772
04-02-2021,37.76,38.46,36.92,1380,-0.42,56.07,44.845538,1126.74,19.67014994,2.889
05-02-2021,37.6,38.9,37.43,1080,2.51,56.7,46.277406,1132.93,19.96424645,2.841
08-02-2021,39.39,39.93,38.7,2100,1.07,57.83,46.794432,1136.56,19.77811259,2.862
